mode,strategy,run_number,user,cpu_ms,elapsed_ms,logical_reads,rows_returned,errors,machine,policy_id,policy_name,predicate_function,predicate_columns,table_affected,query_name,tables_used
WITH_RLS,NO_CARTESIAN,2,user1,3270,294,104890,1,,Mr,P5,,dbo.p5_price_range,"l_extendedprice,l_discount",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,2,user1,1021,104,104890,1,,Mr,P5,,dbo.p5_price_range,"l_extendedprice,l_discount",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,3,user1,3300,289,104890,1,,Mr,P5,,dbo.p5_price_range,"l_extendedprice,l_discount",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,3,user1,1044,92,104890,1,,Mr,P5,,dbo.p5_price_range,"l_extendedprice,l_discount",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,4,user1,3164,297,104890,1,,Mr,P5,,dbo.p5_price_range,"l_extendedprice,l_discount",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,4,user1,1063,97,104890,1,,Mr,P5,,dbo.p5_price_range,"l_extendedprice,l_discount",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,5,user1,3138,278,104890,1,,Mr,P5,,dbo.p5_price_range,"l_extendedprice,l_discount",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,5,user1,1043,94,104890,1,,Mr,P5,,dbo.p5_price_range,"l_extendedprice,l_discount",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,1,user1,3214,287,104890,1,,Mr,P9,,dbo.p9_tax,l_tax,lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,1,user1,1038,94,104890,1,,Mr,P9,,dbo.p9_tax,l_tax,lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,2,user1,3151,283,104890,1,,Mr,P9,,dbo.p9_tax,l_tax,lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,2,user1,1062,98,104890,1,,Mr,P9,,dbo.p9_tax,l_tax,lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,3,user1,3161,278,104890,1,,Mr,P9,,dbo.p9_tax,l_tax,lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,3,user1,1027,98,104890,1,,Mr,P9,,dbo.p9_tax,l_tax,lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,4,user1,3205,291,104890,1,,Mr,P9,,dbo.p9_tax,l_tax,lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,4,user1,1090,106,104890,1,,Mr,P9,,dbo.p9_tax,l_tax,lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,5,user1,3273,287,104890,1,,Mr,P9,,dbo.p9_tax,l_tax,lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,5,user1,1027,92,104890,1,,Mr,P9,,dbo.p9_tax,l_tax,lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,1,user1,3196,282,104890,1,,Mr,P3,,dbo.p3_return_discount,"l_returnflag,l_discount",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,1,user1,989,91,104890,1,,Mr,P3,,dbo.p3_return_discount,"l_returnflag,l_discount",lineitem,q1.sql,lineitem
