NO_RLS,CARTESIAN,2,user1,P26,dbo.p26_part_many_suppliers,p_partkey,part,160,24,28070,476,,Mr,2.sql,"part,partsupp"
NO_RLS,CARTESIAN,3,user1,P26,dbo.p26_part_many_suppliers,p_partkey,part,152,25,28058,476,,Mr,2.sql,"part,partsupp"
NO_RLS,CARTESIAN,4,user1,P26,dbo.p26_part_many_suppliers,p_partkey,part,148,23,28067,476,,Mr,2.sql,"part,partsupp"
NO_RLS,CARTESIAN,5,user1,P26,dbo.p26_part_many_suppliers,p_partkey,part,181,26,28061,476,,Mr,2.sql,"part,partsupp"
WITH_RLS,CARTESIAN,1,user1,P6,dbo.p6_ship_commit,"l_shipdate,l_commitdate",lineitem,1052,94,213395,1,,Mr,17.sql,lineitem
WITH_RLS,CARTESIAN,2,user1,P6,dbo.p6_ship_commit,"l_shipdate,l_commitdate",lineitem,1321,119,213395,1,,Mr,17.sql,lineitem
WITH_RLS,CARTESIAN,3,user1,P6,dbo.p6_ship_commit,"l_shipdate,l_commitdate",lineitem,1286,116,213395,1,,Mr,17.sql,lineitem
WITH_RLS,CARTESIAN,4,user1,P6,dbo.p6_ship_commit,"l_shipdate,l_commitdate",lineitem,1117,102,213395,1,,Mr,17.sql,lineitem
WITH_RLS,CARTESIAN,5,user1,P6,dbo.p6_ship_commit,"l_shipdate,l_commitdate",lineitem,1289,117,213395,1,,Mr,17.sql,lineitem
NO_RLS,CARTESIAN,1,user1,P6,dbo.p6_ship_commit,"l_shipdate,l_commitdate",lineitem,553,53,120839,1,,Mr,17.sql,lineitem
NO_RLS,CARTESIAN,2,user1,P6,dbo.p6_ship_commit,"l_shipdate,l_commitdate",lineitem,792,76,120839,1,,Mr,17.sql,lineitem
NO_RLS,CARTESIAN,3,user1,P6,dbo.p6_ship_commit,"l_shipdate,l_commitdate",lineitem,877,82,120839,1,,Mr,17.sql,lineitem
NO_RLS,CARTESIAN,4,user1,P6,dbo.p6_ship_commit,"l_shipdate,l_commitdate",lineitem,847,79,120839,1,,Mr,17.sql,lineitem
NO_RLS,CARTESIAN,5,user1,P6,dbo.p6_ship_commit,"l_shipdate,l_commitdate",lineitem,651,60,120839,1,,Mr,17.sql,lineitem
WITH_RLS,CARTESIAN,1,user1,P11,dbo.p11_customer_supplier_same_region,"l_orderkey,l_suppkey",lineitem,1170,111,288635,1,,Mr,17.sql,lineitem
WITH_RLS,CARTESIAN,2,user1,P11,dbo.p11_customer_supplier_same_region,"l_orderkey,l_suppkey",lineitem,1473,134,288635,1,,Mr,17.sql,lineitem
WITH_RLS,CARTESIAN,3,user1,P11,dbo.p11_customer_supplier_same_region,"l_orderkey,l_suppkey",lineitem,1135,105,288635,1,,Mr,17.sql,lineitem
WITH_RLS,CARTESIAN,4,user1,P11,dbo.p11_customer_supplier_same_region,"l_orderkey,l_suppkey",lineitem,1485,137,288635,1,,Mr,17.sql,lineitem
WITH_RLS,CARTESIAN,5,user1,P11,dbo.p11_customer_supplier_same_region,"l_orderkey,l_suppkey",lineitem,1481,140,288635,1,,Mr,17.sql,lineitem
NO_RLS,CARTESIAN,1,user1,P11,dbo.p11_customer_supplier_same_region,"l_orderkey,l_suppkey",lineitem,561,55,120839,1,,Mr,17.sql,lineitem
NO_RLS,CARTESIAN,2,user1,P11,dbo.p11_customer_supplier_same_region,"l_orderkey,l_suppkey",lineitem,786,72,120839,1,,Mr,17.sql,lineitem
NO_RLS,CARTESIAN,3,user1,P11,dbo.p11_customer_supplier_same_region,"l_orderkey,l_suppkey",lineitem,788,78,120839,1,,Mr,17.sql,lineitem
