mode,strategy,run_number,user,policy_ids,predicate_functions,tables_affected,cpu_ms,elapsed_ms,logical_reads,physical_reads,read_ahead_reads,rows_returned,errors,machine,query_name,tables_used
WITH_RLS,MODE2_EXPLICIT,1,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,418,101,8135,1049,3503,0,,Mr,8.sql,"customer,lineitem,nation,orders,part,region,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,403,91,8135,1051,3503,0,,Mr,8.sql,"customer,lineitem,nation,orders,part,region,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,386,97,8135,1051,3503,0,,Mr,8.sql,"customer,lineitem,nation,orders,part,region,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,5804,2838,4878951,170,18272,0,,Mr,9.sql,"lineitem,nation,orders,part,partsupp,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,6187,2866,4878961,174,18259,0,,Mr,9.sql,"lineitem,nation,orders,part,partsupp,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,6115,2753,4878676,174,18234,0,,Mr,9.sql,"lineitem,nation,orders,part,partsupp,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,5716,655,1675269,466,126922,0,,Mr,10.sql,"customer,lineitem,nation,orders"
WITH_RLS,MODE2_EXPLICIT,2,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,6027,671,1675269,466,126923,0,,Mr,10.sql,"customer,lineitem,nation,orders"
WITH_RLS,MODE2_EXPLICIT,3,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,5793,636,1675269,466,126923,0,,Mr,10.sql,"customer,lineitem,nation,orders"
WITH_RLS,MODE2_EXPLICIT,1,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,4731,4812,4906844,263,17506,0,,Mr,11.sql,"nation,partsupp,supplier"
