mode,strategy,run_number,user,policy_ids,predicate_functions,predicate_columns,tables_affected,cpu_ms,elapsed_ms,logical_reads,rows_returned,errors,machine,query_name,tables_used
NO_RLS,MODE1_CARTESIAN,3,user1,P17,dbo.p17_customer_active_no_cancel,customer,1602,164,497640,4798,,Mr,3.sql,customer
NO_RLS,MODE1_CARTESIAN,4,user1,P17,dbo.p17_customer_active_no_cancel,customer,1577,181,497640,4798,,Mr,3.sql,customer
NO_RLS,MODE1_CARTESIAN,5,user1,P17,dbo.p17_customer_active_no_cancel,customer,1399,180,497640,4798,,Mr,3.sql,customer
WITH_RLS,MODE1_CARTESIAN,1,user1,P15,dbo.p15_customer_recent_large_orders,customer,2964,2802,4582153,0,,Mr,3.sql,customer
WITH_RLS,MODE1_CARTESIAN,2,user1,P15,dbo.p15_customer_recent_large_orders,customer,3113,2959,4582153,0,,Mr,3.sql,customer
WITH_RLS,MODE1_CARTESIAN,3,user1,P15,dbo.p15_customer_recent_large_orders,customer,3071,2951,4582153,0,,Mr,3.sql,customer
WITH_RLS,MODE1_CARTESIAN,4,user1,P15,dbo.p15_customer_recent_large_orders,customer,2971,2845,4582153,0,,Mr,3.sql,customer
WITH_RLS,MODE1_CARTESIAN,5,user1,P15,dbo.p15_customer_recent_large_orders,customer,2875,2747,4582153,0,,Mr,3.sql,customer
NO_RLS,MODE1_CARTESIAN,1,user1,P15,dbo.p15_customer_recent_large_orders,customer,1326,150,497640,4798,,Mr,3.sql,customer
NO_RLS,MODE1_CARTESIAN,2,user1,P15,dbo.p15_customer_recent_large_orders,customer,1672,164,497640,4798,,Mr,3.sql,customer
NO_RLS,MODE1_CARTESIAN,3,user1,P15,dbo.p15_customer_recent_large_orders,customer,1545,161,497640,4798,,Mr,3.sql,customer
NO_RLS,MODE1_CARTESIAN,4,user1,P15,dbo.p15_customer_recent_large_orders,customer,1663,162,497640,4798,,Mr,3.sql,customer
NO_RLS,MODE1_CARTESIAN,5,user1,P15,dbo.p15_customer_recent_large_orders,customer,1613,161,497640,4798,,Mr,3.sql,customer
WITH_RLS,MODE1_CARTESIAN,1,user1,P29,dbo.p29_customer_lifetime_value_gt_balance,customer,6568,3024,5983003,4798,,Mr,3.sql,customer
WITH_RLS,MODE1_CARTESIAN,2,user1,P29,dbo.p29_customer_lifetime_value_gt_balance,customer,6776,3276,5983003,4798,,Mr,3.sql,customer
