mode,strategy,run_number,user,policy_ids,predicate_functions,tables_affected,cpu_ms,elapsed_ms,logical_reads,physical_reads,read_ahead_reads,rows_returned,errors,machine,query_name,tables_used
WITH_RLS,MODE2_EXPLICIT,1,user1,P6,dbo.p6_ship_commit,lineitem,3218,1644,2853569,65,146051,396,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P6,dbo.p6_ship_commit,lineitem,3142,1593,2852978,59,146079,396,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P6,dbo.p6_ship_commit,lineitem,3019,1550,2853233,65,146033,396,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P7,dbo.p7_receipt_commit,lineitem,2921,1638,2761618,53,146162,396,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P7,dbo.p7_receipt_commit,lineitem,2908,1582,2761920,41,146266,396,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P7,dbo.p7_receipt_commit,lineitem,2813,1524,2762079,42,146231,396,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P8,dbo.p8_shipmode,lineitem,3221,1799,2775990,32,146298,396,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P8,dbo.p8_shipmode,lineitem,3203,1682,2776290,18,146413,396,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P8,dbo.p8_shipmode,lineitem,3153,1723,2775664,26,146378,396,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P9,dbo.p9_tax,lineitem,3633,1692,2863544,46,146210,396,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P9,dbo.p9_tax,lineitem,3681,1647,2863264,60,146092,396,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P9,dbo.p9_tax,lineitem,3612,1655,2863115,57,146112,396,,Mr,21.sql,"lineitem,nation,orders,supplier"
