mode,strategy,run_number,user,policy_ids,predicate_functions,tables_affected,cpu_ms,elapsed_ms,logical_reads,physical_reads,read_ahead_reads,rows_returned,errors,machine,query_name,tables_used
WITH_RLS,MODE2_EXPLICIT,1,user1,P3,dbo.p3_return_discount,lineitem,4201,1742,2810408,57,146100,396,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P3,dbo.p3_return_discount,lineitem,4119,1729,2812316,38,146324,396,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P3,dbo.p3_return_discount,lineitem,4092,1733,2811254,46,146211,396,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P3,dbo.p3_return_discount,lineitem,4354,1829,2810956,57,146100,396,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P3,dbo.p3_return_discount,lineitem,4329,1840,2811628,62,146105,396,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P3,dbo.p3_return_discount,lineitem,4259,1835,2812358,51,146167,396,,Mr,21.sql,"lineitem,nation,orders,supplier"

